system,model,compile@1,compile@3,pass@1,pass@3,method
OLRS,deepseek-v4-flash,1,1,0,0,VL
OPMS,deepseek-v4-flash,1,1,0.8,1,VL
OPRS,deepseek-v4-flash,1,1,0,0,VL
ORS,deepseek-v4-flash,1,1,0,0,VL
R2_EmployeeManagementSystem,deepseek-v4-flash,1,1,0.4,0.9,VL
R123_School,deepseek-v4-flash,1,1,0,0,VL
R12_RentedCarGalleryManagementSystem,deepseek-v4-flash,1,1,1,1,VL
R132_MunicipalLibrary,deepseek-v4-flash,1,1,1,1,VL
R144_AirlineFlights,deepseek-v4-flash,1,1,0,0,VL
R22_IPOApplication,deepseek-v4-flash,0.8,1,0.2,0.6,VL
OLRS,minimax-m3,1,1,0,0,VL
OPMS,minimax-m3,1,1,0.2,0.6,VL
OPRS,minimax-m3,1,1,0,0,VL
ORS,minimax-m3,1,1,0,0,VL
R2_EmployeeManagementSystem,minimax-m3,1,1,1,1,VL
R123_School,minimax-m3,0.8,1,0,0,VL
R12_RentedCarGalleryManagementSystem,minimax-m3,1,1,1,1,VL
R132_MunicipalLibrary,minimax-m3,0.8,1,0.4,0.9,VL
R144_AirlineFlights,minimax-m3,0.6,1,0,0,VL
R22_IPOApplication,minimax-m3,1,1,0,0,VL
OLRS,qwen3.6-flash,1,1,0,0,VL
OPMS,qwen3.6-flash,0.8,1,0,0,VL
OPRS,qwen3.6-flash,1,1,0,0,VL
ORS,qwen3.6-flash,0.2,0.6,0,0,VL
R2_EmployeeManagementSystem,qwen3.6-flash,0.8,1,0.2,0.6,VL
R123_School,qwen3.6-flash,0.2,0.6,0,0,VL
R12_RentedCarGalleryManagementSystem,qwen3.6-flash,1,1,1,1,VL
R132_MunicipalLibrary,qwen3.6-flash,1,1,0.4,0.9,VL
R144_AirlineFlights,qwen3.6-flash,0.4,0.9,0,0,VL
R22_IPOApplication,qwen3.6-flash,1,1,0,0,VL
OLRS,gemini-3.1-flash-lite,1,1,0,0,VL
OPMS,gemini-3.1-flash-lite,1,1,0,0,VL
OPRS,gemini-3.1-flash-lite,1,1,0,0,VL
ORS,gemini-3.1-flash-lite,1,1,0,0,VL
R2_EmployeeManagementSystem,gemini-3.1-flash-lite,1,1,1,1,VL
R123_School,gemini-3.1-flash-lite,1,1,0,0,VL
R12_RentedCarGalleryManagementSystem,gemini-3.1-flash-lite,1,1,1,1,VL
R132_MunicipalLibrary,gemini-3.1-flash-lite,0.4,0.9,0.2,0.6,VL
R144_AirlineFlights,gemini-3.1-flash-lite,0.8,1,0,0,VL
R22_IPOApplication,gemini-3.1-flash-lite,1,1,0,0,VL
OLRS,gpt-5.4-mini,0.8,1,0,0,VL
OPMS,gpt-5.4-mini,1,1,0.4,0.9,VL
OPRS,gpt-5.4-mini,1,1,0,0,VL
ORS,gpt-5.4-mini,1,1,0,0,VL
R2_EmployeeManagementSystem,gpt-5.4-mini,1,1,0.4,0.9,VL
R123_School,gpt-5.4-mini,1,1,0,0,VL
R12_RentedCarGalleryManagementSystem,gpt-5.4-mini,1,1,1,1,VL
R132_MunicipalLibrary,gpt-5.4-mini,0.8,1,0.4,0.9,VL
R144_AirlineFlights,gpt-5.4-mini,0.6,1,0,0,VL
R22_IPOApplication,gpt-5.4-mini,1,1,0,0,VL
OLRS,deepseek-v4-flash-fix,1,1,0,0,VL-Fix
OPMS,deepseek-v4-flash-fix,1,1,0.8,1,VL-Fix
OPRS,deepseek-v4-flash-fix,1,1,0,0,VL-Fix
ORS,deepseek-v4-flash-fix,1,1,0,0,VL-Fix
R2_EmployeeManagementSystem,deepseek-v4-flash-fix,1,1,0.4,0.9,VL-Fix
R123_School,deepseek-v4-flash-fix,1,1,0,0,VL-Fix
R12_RentedCarGalleryManagementSystem,deepseek-v4-flash-fix,1,1,1,1,VL-Fix
R132_MunicipalLibrary,deepseek-v4-flash-fix,1,1,1,1,VL-Fix
R144_AirlineFlights,deepseek-v4-flash-fix,1,1,0,0,VL-Fix
R22_IPOApplication,deepseek-v4-flash-fix,1,1,0.2,0.6,VL-Fix
OLRS,minimax-m3-fix,1,1,0,0,VL-Fix
OPMS,minimax-m3-fix,1,1,0.2,0.6,VL-Fix
OPRS,minimax-m3-fix,1,1,0,0,VL-Fix
ORS,minimax-m3-fix,1,1,0,0,VL-Fix
R2_EmployeeManagementSystem,minimax-m3-fix,1,1,1,1,VL-Fix
R123_School,minimax-m3-fix,0.8,1,0,0,VL-Fix
R12_RentedCarGalleryManagementSystem,minimax-m3-fix,1,1,1,1,VL-Fix
R132_MunicipalLibrary,minimax-m3-fix,0.8,1,0.4,0.9,VL-Fix
R144_AirlineFlights,minimax-m3-fix,1,1,0,0,VL-Fix
R22_IPOApplication,minimax-m3-fix,1,1,0,0,VL-Fix
OLRS,qwen3.6-flash-fix,1,1,0,0,VL-Fix
OPMS,qwen3.6-flash-fix,0.8,1,0,0,VL-Fix
OPRS,qwen3.6-flash-fix,1,1,0,0,VL-Fix
ORS,qwen3.6-flash-fix,0.8,1,0,0,VL-Fix
R2_EmployeeManagementSystem,qwen3.6-flash-fix,1,1,0.2,0.6,VL-Fix
R123_School,qwen3.6-flash-fix,0.2,0.6,0,0,VL-Fix
R12_RentedCarGalleryManagementSystem,qwen3.6-flash-fix,1,1,1,1,VL-Fix
R132_MunicipalLibrary,qwen3.6-flash-fix,1,1,0.4,0.9,VL-Fix
R144_AirlineFlights,qwen3.6-flash-fix,0.4,0.9,0,0,VL-Fix
R22_IPOApplication,qwen3.6-flash-fix,1,1,0,0,VL-Fix
OLRS,gemini-3.1-flash-lite-fix,1,1,0,0,VL-Fix
OPMS,gemini-3.1-flash-lite-fix,1,1,0,0,VL-Fix
OPRS,gemini-3.1-flash-lite-fix,1,1,0,0,VL-Fix
ORS,gemini-3.1-flash-lite-fix,1,1,0,0,VL-Fix
R2_EmployeeManagementSystem,gemini-3.1-flash-lite-fix,1,1,1,1,VL-Fix
R123_School,gemini-3.1-flash-lite-fix,1,1,0,0,VL-Fix
R12_RentedCarGalleryManagementSystem,gemini-3.1-flash-lite-fix,1,1,1,1,VL-Fix
R132_MunicipalLibrary,gemini-3.1-flash-lite-fix,0.4,0.9,0.2,0.6,VL-Fix
R144_AirlineFlights,gemini-3.1-flash-lite-fix,0.8,1,0,0,VL-Fix
R22_IPOApplication,gemini-3.1-flash-lite-fix,1,1,0,0,VL-Fix
OLRS,gpt-5.4-mini-fix,0.8,1,0,0,VL-Fix
OPMS,gpt-5.4-mini-fix,1,1,0.4,0.9,VL-Fix
OPRS,gpt-5.4-mini-fix,1,1,0,0,VL-Fix
ORS,gpt-5.4-mini-fix,1,1,0,0,VL-Fix
R2_EmployeeManagementSystem,gpt-5.4-mini-fix,1,1,0.4,0.9,VL-Fix
R123_School,gpt-5.4-mini-fix,1,1,0,0,VL-Fix
R12_RentedCarGalleryManagementSystem,gpt-5.4-mini-fix,1,1,1,1,VL-Fix
R132_MunicipalLibrary,gpt-5.4-mini-fix,0.8,1,0.4,0.9,VL-Fix
R144_AirlineFlights,gpt-5.4-mini-fix,0.6,1,0,0,VL-Fix
R22_IPOApplication,gpt-5.4-mini-fix,1,1,0,0,VL-Fix
OLRS,deepseek-v4-flash,1,1,0.2,0.6,EcoreGen
OPMS,deepseek-v4-flash,1,1,1,1,EcoreGen
OPRS,deepseek-v4-flash,1,1,0.8,1,EcoreGen
ORS,deepseek-v4-flash,1,1,0,0,EcoreGen
R123_School,deepseek-v4-flash,1,1,1,1,EcoreGen
R12_RentedCarGalleryManagementSystem,deepseek-v4-flash,1,1,1,1,EcoreGen
R132_MunicipalLibrary,deepseek-v4-flash,1,1,1,1,EcoreGen
R144_AirlineFlights,deepseek-v4-flash,1,1,0,0,EcoreGen
R2_EmployeeManagementSystem,deepseek-v4-flash,1,1,0.4,0.9,EcoreGen
R22_IPOApplication,deepseek-v4-flash,1,1,0.4,0.9,EcoreGen
OLRS,minimax-m3,1,1,0,0,EcoreGen
OPMS,minimax-m3,1,1,0.8,1,EcoreGen
OPRS,minimax-m3,1,1,1,1,EcoreGen
ORS,minimax-m3,1,1,0.2,0.6,EcoreGen
R123_School,minimax-m3,1,1,0.8,1,EcoreGen
R12_RentedCarGalleryManagementSystem,minimax-m3,1,1,1,1,EcoreGen
R132_MunicipalLibrary,minimax-m3,1,1,0.8,1,EcoreGen
R144_AirlineFlights,minimax-m3,1,1,0.2,0.6,EcoreGen
R2_EmployeeManagementSystem,minimax-m3,1,1,0.6,1,EcoreGen
R22_IPOApplication,minimax-m3,1,1,0.2,0.6,EcoreGen
OLRS,qwen3.6-flash,1,1,0,0,EcoreGen
OPMS,qwen3.6-flash,1,1,0.4,0.9,EcoreGen
OPRS,qwen3.6-flash,1,1,0.6,1,EcoreGen
ORS,qwen3.6-flash,0.6,1,0,0,EcoreGen
R123_School,qwen3.6-flash,1,1,0.6,1,EcoreGen
R12_RentedCarGalleryManagementSystem,qwen3.6-flash,1,1,1,1,EcoreGen
R132_MunicipalLibrary,qwen3.6-flash,1,1,0.6,1,EcoreGen
R144_AirlineFlights,qwen3.6-flash,0.6,1,0,0,EcoreGen
R2_EmployeeManagementSystem,qwen3.6-flash,1,1,1,1,EcoreGen
R22_IPOApplication,qwen3.6-flash,1,1,0.2,0.6,EcoreGen
OLRS,gemini-3.1-flash-lite,1,1,0.2,0.6,EcoreGen
OPMS,gemini-3.1-flash-lite,1,1,0.8,1,EcoreGen
OPRS,gemini-3.1-flash-lite,1,1,1,1,EcoreGen
ORS,gemini-3.1-flash-lite,0.6,1,0,0,EcoreGen
R123_School,gemini-3.1-flash-lite,1,1,1,1,EcoreGen
R12_RentedCarGalleryManagementSystem,gemini-3.1-flash-lite,1,1,1,1,EcoreGen
R132_MunicipalLibrary,gemini-3.1-flash-lite,1,1,1,1,EcoreGen
R144_AirlineFlights,gemini-3.1-flash-lite,1,1,0,0,EcoreGen
R2_EmployeeManagementSystem,gemini-3.1-flash-lite,1,1,1,1,EcoreGen
R22_IPOApplication,gemini-3.1-flash-lite,1,1,0,0,EcoreGen
OLRS,gpt-5.4-mini,1,1,0,0,EcoreGen
OPMS,gpt-5.4-mini,1,1,1,1,EcoreGen
OPRS,gpt-5.4-mini,1,1,1,1,EcoreGen
ORS,gpt-5.4-mini,1,1,0,0,EcoreGen
R123_School,gpt-5.4-mini,1,1,1,1,EcoreGen
R12_RentedCarGalleryManagementSystem,gpt-5.4-mini,1,1,1,1,EcoreGen
R132_MunicipalLibrary,gpt-5.4-mini,1,1,1,1,EcoreGen
R144_AirlineFlights,gpt-5.4-mini,1,1,0.2,0.6,EcoreGen
R2_EmployeeManagementSystem,gpt-5.4-mini,1,1,1,1,EcoreGen
R22_IPOApplication,gpt-5.4-mini,1,1,0.4,0.9,EcoreGen
OLRS,deepseek-v4-flash,1,1,0,0,OpenCode
OLRS,MiniMax-M3,1,1,0,0,OpenCode
OLRS,qwen3.6-flash,0.8,1,0,0,OpenCode
OLRS,gemini-3.1-flash-lite,1,1,0,0,OpenCode
OLRS,gpt-5.4-mini,1,1,0,0,OpenCode
OPMS,deepseek-v4-flash,1,1,0.6,1,OpenCode
OPMS,MiniMax-M3,1,1,0,0,OpenCode
OPMS,qwen3.6-flash,1,1,0,0,OpenCode
OPMS,gemini-3.1-flash-lite,1,1,0,0,OpenCode
OPMS,gpt-5.4-mini,1,1,0.2,0.6,OpenCode
OPRS,deepseek-v4-flash,0.6,1,0,0,OpenCode
OPRS,MiniMax-M3,1,1,0,0,OpenCode
OPRS,qwen3.6-flash,0.6,1,0,0,OpenCode
OPRS,gemini-3.1-flash-lite,1,1,0,0,OpenCode
OPRS,gpt-5.4-mini,1,1,0,0,OpenCode
ORS,deepseek-v4-flash,1,1,0,0,OpenCode
ORS,MiniMax-M3,1,1,0,0,OpenCode
ORS,qwen3.6-flash,0.8,1,0,0,OpenCode
ORS,gemini-3.1-flash-lite,1,1,0,0,OpenCode
ORS,gpt-5.4-mini,1,1,0,0,OpenCode
R2_EmployeeManagementSystem,deepseek-v4-flash,1,1,1,1,OpenCode
R2_EmployeeManagementSystem,MiniMax-M3,1,1,1,1,OpenCode
R2_EmployeeManagementSystem,qwen3.6-flash,1,1,0.6,1,OpenCode
R2_EmployeeManagementSystem,gemini-3.1-flash-lite,0.6,1,0.4,0.9,OpenCode
R2_EmployeeManagementSystem,gpt-5.4-mini,1,1,0.4,0.9,OpenCode
R123_School,deepseek-v4-flash,1,1,0,0,OpenCode
R123_School,MiniMax-M3,1,1,0,0,OpenCode
R123_School,qwen3.6-flash,1,1,0,0,OpenCode
R123_School,gemini-3.1-flash-lite,1,1,0,0,OpenCode
R123_School,gpt-5.4-mini,1,1,0,0,OpenCode
R12_RentedCarGalleryManagementSystem,deepseek-v4-flash,1,1,0.8,1,OpenCode
R12_RentedCarGalleryManagementSystem,MiniMax-M3,1,1,1,1,OpenCode
R12_RentedCarGalleryManagementSystem,qwen3.6-flash,0.8,1,0.8,1,OpenCode
R12_RentedCarGalleryManagementSystem,gemini-3.1-flash-lite,0.8,1,0.8,1,OpenCode
R12_RentedCarGalleryManagementSystem,gpt-5.4-mini,1,1,1,1,OpenCode
R132_MunicipalLibrary,deepseek-v4-flash,1,1,0.8,1,OpenCode
R132_MunicipalLibrary,MiniMax-M3,1,1,1,1,OpenCode
R132_MunicipalLibrary,qwen3.6-flash,0.8,1,0.4,0.9,OpenCode
R132_MunicipalLibrary,gemini-3.1-flash-lite,1,1,0.2,0.6,OpenCode
R132_MunicipalLibrary,gpt-5.4-mini,1,1,1,1,OpenCode
R144_AirlineFlights,deepseek-v4-flash,1,1,0,0,OpenCode
R144_AirlineFlights,MiniMax-M3,1,1,0,0,OpenCode
R144_AirlineFlights,qwen3.6-flash,0.8,1,0,0,OpenCode
R144_AirlineFlights,gemini-3.1-flash-lite,1,1,0,0,OpenCode
R144_AirlineFlights,gpt-5.4-mini,1,1,0,0,OpenCode
R22_IPOApplication,deepseek-v4-flash,1,1,0,0,OpenCode
R22_IPOApplication,MiniMax-M3,1,1,0,0,OpenCode
R22_IPOApplication,qwen3.6-flash,1,1,0,0,OpenCode
R22_IPOApplication,gemini-3.1-flash-lite,1,1,0,0,OpenCode
R22_IPOApplication,gpt-5.4-mini,1,1,0,0,OpenCode
OLRS,deepseek-v4-flash,0.8,1,0,0,Mini-SWE-Agent
OLRS,minimax-m3,1,1,0,0,Mini-SWE-Agent
OLRS,qwen3.6-flash,1,1,0,0,Mini-SWE-Agent
OLRS,gemini-3.1-flash-lite,1,1,0,0,Mini-SWE-Agent
OPMS,deepseek-v4-flash,1,1,0.4,0.9,Mini-SWE-Agent
OPMS,minimax-m3,1,1,0.2,0.6,Mini-SWE-Agent
OPMS,qwen3.6-flash,1,1,0,0,Mini-SWE-Agent
OPMS,gemini-3.1-flash-lite,1,1,0,0,Mini-SWE-Agent
OPRS,deepseek-v4-flash,1,1,0,0,Mini-SWE-Agent
OPRS,minimax-m3,1,1,0,0,Mini-SWE-Agent
OPRS,qwen3.6-flash,1,1,0,0,Mini-SWE-Agent
OPRS,gemini-3.1-flash-lite,1,1,0,0,Mini-SWE-Agent
ORS,deepseek-v4-flash,1,1,0,0,Mini-SWE-Agent
ORS,minimax-m3,1,1,0,0,Mini-SWE-Agent
ORS,qwen3.6-flash,1,1,0,0,Mini-SWE-Agent
ORS,gemini-3.1-flash-lite,1,1,0,0,Mini-SWE-Agent
R2_EmployeeManagementSystem,deepseek-v4-flash,1,1,1,1,Mini-SWE-Agent
R2_EmployeeManagementSystem,minimax-m3,1,1,0.8,1,Mini-SWE-Agent
R2_EmployeeManagementSystem,qwen3.6-flash,1,1,0.2,0.6,Mini-SWE-Agent
R2_EmployeeManagementSystem,gemini-3.1-flash-lite,0.2,0.6,0,0,Mini-SWE-Agent
R123_School,deepseek-v4-flash,1,1,0,0,Mini-SWE-Agent
R123_School,minimax-m3,1,1,0,0,Mini-SWE-Agent
R123_School,qwen3.6-flash,1,1,0,0,Mini-SWE-Agent
R123_School,gemini-3.1-flash-lite,1,1,0,0,Mini-SWE-Agent
R12_RentedCarGalleryManagementSystem,deepseek-v4-flash,1,1,1,1,Mini-SWE-Agent
R12_RentedCarGalleryManagementSystem,minimax-m3,1,1,1,1,Mini-SWE-Agent
R12_RentedCarGalleryManagementSystem,qwen3.6-flash,1,1,1,1,Mini-SWE-Agent
R12_RentedCarGalleryManagementSystem,gemini-3.1-flash-lite,1,1,1,1,Mini-SWE-Agent
R132_MunicipalLibrary,deepseek-v4-flash,0.8,1,0.8,1,Mini-SWE-Agent
R132_MunicipalLibrary,minimax-m3,1,1,0.8,1,Mini-SWE-Agent
R132_MunicipalLibrary,qwen3.6-flash,1,1,0.8,1,Mini-SWE-Agent
R132_MunicipalLibrary,gemini-3.1-flash-lite,1,1,1,1,Mini-SWE-Agent
R144_AirlineFlights,deepseek-v4-flash,1,1,0,0,Mini-SWE-Agent
R144_AirlineFlights,minimax-m3,1,1,0,0,Mini-SWE-Agent
R144_AirlineFlights,qwen3.6-flash,0.4,0.9,0,0,Mini-SWE-Agent
R144_AirlineFlights,gemini-3.1-flash-lite,0.8,1,0,0,Mini-SWE-Agent
R22_IPOApplication,deepseek-v4-flash,1,1,0,0,Mini-SWE-Agent
R22_IPOApplication,minimax-m3,1,1,0,0,Mini-SWE-Agent
R22_IPOApplication,qwen3.6-flash,1,1,0,0,Mini-SWE-Agent
R22_IPOApplication,gemini-3.1-flash-lite,1,1,0,0,Mini-SWE-Agent
OLRS,gpt-5.4-mini,1,1,0,0,Mini-SWE-Agent
OPMS,gpt-5.4-mini,1,1,0,0,Mini-SWE-Agent
OPRS,gpt-5.4-mini,1,1,0,0,Mini-SWE-Agent
ORS,gpt-5.4-mini,1,1,0,0,Mini-SWE-Agent
R2_EmployeeManagementSystem,gpt-5.4-mini,1,1,0.6,1,Mini-SWE-Agent
R123_School,gpt-5.4-mini,1,1,0,0,Mini-SWE-Agent
R12_RentedCarGalleryManagementSystem,gpt-5.4-mini,1,1,1,1,Mini-SWE-Agent
R132_MunicipalLibrary,gpt-5.4-mini,1,1,0.8,1,Mini-SWE-Agent
R144_AirlineFlights,gpt-5.4-mini,1,1,0,0,Mini-SWE-Agent
R22_IPOApplication,gpt-5.4-mini,1,1,0,0,Mini-SWE-Agent
,,,,,,
,,,,,,
,,,,,,
